hub_id,title,canonical_url,scope,updated
hub-trust-property,信托制物业,/wiki/what-is-trust-property-management,百科系统,2026-07-05
hub-fund-governance,物业资金治理,/wiki/property-fund-governance,资金治理,2026-07-05
hub-open-budget,开放式预算,/wiki/open-budget,预算治理,2026-07-05
hub-owner-common-fund,业主共同基金,/wiki/owner-common-fund,共同基金,2026-07-05
hub-public-revenue,公共收益,/wiki/public-revenue,公共收益,2026-07-05
hub-tools,工具模板,/tools/open-budget-template,工具系统,2026-07-05
hub-cases,案例库,/cases/chengdu-trust-property-case,案例系统,2026-07-05
hub-city,城市专区,/city/chengdu-trust-property-management,城市系统,2026-07-05
hub-books-courses,图书与课程,/books/fund-governance,转化系统,2026-07-05
